method,seed,train time (s),time for 45% (s),time for 50% (s)
BP,0,2038.59,2038.59,2038.59
BP,1,2041.92,2041.92,2041.92
BP,2,2042.88,2042.88,2042.88
BP,3,2046.97,2046.97,2046.97
BP,4,2039.19,1712.65,2039.19
BP,5,2048.42,2048.42,2048.42
BP,6,2043.33,2043.33,2043.33
BP,7,2033.17,2033.17,2033.17
BP,8,2020.92,1195.88,1709.77
BP,9,1970.22,1786.01,1970.22
CBP,0,1961.96,1243.07,1896.96
CBP,1,1960.92,1227.72,1881.96
CBP,2,1967.84,1175.01,1758.15
CBP,3,1969.43,1240.38,1791.24
CBP,4,1967.58,1176.0,1888.6
CBP,5,1968.88,1174.48,1739.35
CBP,6,1974.11,1172.34,1796.03
CBP,7,2038.35,1254.6,1871.65
CBP,8,2100.42,1245.28,1924.88
CBP,9,2104.02,1241.91,1802.33
