method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last)
BP,CE,MLP5,0,None,relu,0.25830939412117004,0.4865660071372986,0.5092,0.4958
BP,CE,MLP5,1,None,relu,0.00038630000199191267,0.014086029492318632,0.5566,0.5537
BP,CE,MLP5,2,None,relu,0.29929232597351074,0.5360721349716187,0.4965,0.4714
BP,CE,MLP5,3,None,relu,0.0012315833009779453,0.007774793077260257,0.5544,0.5486
BP,CE,MLP5,4,None,relu,0.00035074647166766226,0.0006636828184127808,0.5608,0.5602
BP,CE,MLP5,5,None,relu,0.00021938892314210531,0.000658170785754919,0.5672,0.5641
BP,CE,MLP5,6,None,relu,0.20682482421398166,0.3724510669708252,0.5309,0.5105
BP,CE,MLP5,7,None,relu,0.17623811960220334,0.6651611924171448,0.5013,0.4613
BP,CE,MLP5,8,None,relu,0.00040973964496515686,0.0011245559435337784,0.5639,0.5623
BP,CE,MLP5,9,None,relu,0.0010949395364150405,0.3130791783332825,0.5611,0.5187
CBP,CE,MLP5,0,None,relu,0.0002258673630421981,0.0009143645293079317,0.5654,0.5622
CBP,CE,MLP5,1,None,relu,0.00037148644332773983,0.0018377394881099465,0.5624,0.5598
CBP,CE,MLP5,2,None,relu,0.00023187485930975527,0.0005341590731404722,0.5705,0.5689
CBP,CE,MLP5,3,None,relu,0.0007523148669861258,0.0071399700827896595,0.562,0.561
CBP,CE,MLP5,4,None,relu,0.0008048815070651473,0.007420559413731098,0.5679,0.5635
CBP,CE,MLP5,5,None,relu,0.0003834047529380769,0.0035174828954041004,0.5675,0.5675
CBP,CE,MLP5,6,None,relu,0.0005435205530375242,0.0032707098871469498,0.561,0.5579
CBP,CE,MLP5,7,None,relu,0.0004227697208989412,0.001090179430320859,0.5702,0.5679
CBP,CE,MLP5,8,None,relu,0.0008125060703605412,0.0014762962237000465,0.5659,0.5645
CBP,CE,MLP5,9,None,relu,0.0017526266165077686,0.01904338039457798,0.5662,0.5637
