method,seed,train time (s),time for 50% (s),time for 55% (s)
BP,0,1506.63,1169.16,1506.63
BP,1,1513.48,218.7,1271.08
BP,2,1511.09,1511.09,1511.09
BP,3,1512.58,226.39,1345.42
BP,4,1515.28,173.79,1075.68
BP,5,1512.78,181.66,1013.37
BP,6,1513.82,241.88,1513.82
BP,7,1516.48,1470.87,1516.48
BP,8,1514.52,166.4,340.82
BP,9,1514.64,333.0,530.45
CBP,0,1527.31,274.29,1344.34
CBP,1,1534.62,291.01,567.03
CBP,2,1512.97,256.15,876.4
CBP,3,1518.24,279.45,537.67
CBP,4,1516.21,272.15,461.9
CBP,5,1515.03,264.08,461.24
CBP,6,1519.01,272.22,1032.7
CBP,7,1508.58,263.34,369.07
CBP,8,1516.45,280.15,712.35
CBP,9,1523.7,257.52,532.26
