method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last)
BP,CE,MLP5,0,None,relu,0.061553291976451874,0.3955809772014618,0.5438,0.5338
BP,CE,MLP5,1,None,relu,0.051473446190357215,0.29766419529914856,0.5473,0.5371
BP,CE,MLP5,2,None,relu,0.17699609696865082,0.4319011569023132,0.5395,0.5373
BP,CE,MLP5,3,None,relu,0.050046902149915695,0.1081829071044922,0.5471,0.5342
BP,CE,MLP5,4,None,relu,0.03715135529637337,0.18583588302135468,0.5457,0.5347
BP,CE,MLP5,5,None,relu,0.04188889637589455,0.25401222705841064,0.5461,0.535
BP,CE,MLP5,6,None,relu,0.1864919811487198,0.4540387988090515,0.5264,0.504
BP,CE,MLP5,7,None,relu,0.03060168027877808,0.2315151542425156,0.5459,0.5226
BP,CE,MLP5,8,None,relu,0.0454426184296608,0.2637510299682617,0.5511,0.5302
BP,CE,MLP5,9,None,relu,0.052882380783557885,0.18502837419509888,0.5467,0.5293
CBP,CE,MLP5,0,None,relu,0.0523572638630867,0.203572690486908,0.5421,0.5342
CBP,CE,MLP5,1,None,relu,0.048001594841480255,0.2483226805925369,0.5511,0.5279
CBP,CE,MLP5,2,None,relu,0.05314353853464127,0.19140079617500305,0.5483,0.5307
CBP,CE,MLP5,3,None,relu,0.05406153202056885,0.22436879575252533,0.5514,0.5276
CBP,CE,MLP5,4,None,relu,0.0480654239654541,0.121344156563282,0.5453,0.5227
CBP,CE,MLP5,5,None,relu,0.057236518710851676,0.1854822188615799,0.5468,0.5235
CBP,CE,MLP5,6,None,relu,0.05182543769478798,0.19149240851402285,0.5459,0.5277
CBP,CE,MLP5,7,None,relu,0.05331136658787728,0.4187645614147186,0.5488,0.5336
CBP,CE,MLP5,8,None,relu,0.05600057169795036,0.2550613582134247,0.5456,0.5335
CBP,CE,MLP5,9,None,relu,0.046383120119571686,0.3965348899364472,0.5544,0.544
