method,seed,train time (s),time for 50% (s),time for 55% (s)
BP,0,1062.75,202.6,1062.75
BP,1,1067.09,128.08,1067.09
BP,2,1066.46,938.73,1066.46
BP,3,1064.19,128.05,1064.19
BP,4,1067.73,117.49,1067.73
BP,5,1066.74,128.28,1066.74
BP,6,1068.52,202.89,1068.52
BP,7,1068.8,128.5,1068.8
BP,8,1071.96,128.76,278.59
BP,9,1098.28,175.61,1098.28
CBP,0,1095.04,152.16,1095.04
CBP,1,1100.19,186.17,361.93
CBP,2,1096.09,174.39,1096.09
CBP,3,1099.6,163.4,383.58
CBP,4,1101.14,176.81,1101.14
CBP,5,1094.27,174.13,1094.27
CBP,6,1096.91,185.35,1096.91
CBP,7,1084.68,196.58,1084.68
CBP,8,1065.3,180.09,1065.3
CBP,9,1068.92,170.09,352.15
