method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last)
BP,CE,MLP5,0,None,relu,1.374290943145752,1.517298460006714,0.4117,0.3805
BP,CE,MLP5,1,None,relu,1.184375882148743,1.3147015571594238,0.4754,0.4738
BP,CE,MLP5,2,None,relu,1.5176873207092283,1.648358941078186,0.3581,0.3497
BP,CE,MLP5,3,None,relu,1.1317605972290041,1.3087882995605469,0.4823,0.4484
BP,CE,MLP5,4,None,relu,0.8999642133712769,1.0679750442504885,0.5419,0.5393
BP,CE,MLP5,5,None,relu,0.9537984728813172,1.0975569486618042,0.5362,0.5314
BP,CE,MLP5,6,None,relu,1.1955701112747192,1.4212701320648191,0.4669,0.4219
BP,CE,MLP5,7,None,relu,1.0802894830703735,1.2725986242294312,0.4913,0.4786
BP,CE,MLP5,8,None,relu,0.8436241745948792,0.9578386545181274,0.5467,0.5308
BP,CE,MLP5,9,None,relu,1.0612698793411257,1.3168672323226929,0.5156,0.4835
CBP,CE,MLP5,0,None,relu,0.8706783056259155,1.0471378564834597,0.5501,0.5136
CBP,CE,MLP5,1,None,relu,0.8450900316238403,1.0075461864471436,0.5429999999999999,0.5143
CBP,CE,MLP5,2,None,relu,0.8043275475502014,1.1584622859954834,0.5521,0.4995
CBP,CE,MLP5,3,None,relu,0.8269922733306885,0.9268627166748048,0.5501,0.5375
CBP,CE,MLP5,4,None,relu,0.872740626335144,1.1070551872253418,0.545,0.545
CBP,CE,MLP5,5,None,relu,0.8349582552909851,1.000178337097168,0.5464,0.5355
CBP,CE,MLP5,6,None,relu,0.8592986464500427,0.8652341365814209,0.5531,0.5499
CBP,CE,MLP5,7,None,relu,0.8677460551261902,0.9725954532623292,0.5482,0.5261
CBP,CE,MLP5,8,None,relu,0.8421303033828735,0.9424089193344116,0.5553,0.545
CBP,CE,MLP5,9,None,relu,0.8297129273414612,0.9532581567764282,0.5489999999999999,0.5163
