method,loss_func,net,seed,init,act_func,train loss,train loss (last),test acc,test acc (last)
BP,CE,MLP5,0,None,relu,0.8822181224822998,1.2293787002563477,0.4273,0.41700000000000004
BP,CE,MLP5,1,None,relu,0.7896117568016052,1.2758030891418457,0.4807,0.4693
BP,CE,MLP5,2,None,relu,0.9440732598304749,1.4977459907531738,0.4235,0.3679
BP,CE,MLP5,3,None,relu,0.36256083846092224,0.4904592037200928,0.5507,0.5419
BP,CE,MLP5,4,None,relu,0.3364180028438568,0.4772458374500274,0.5585,0.5568
BP,CE,MLP5,5,None,relu,0.3691515624523163,0.6247847080230713,0.5529999999999999,0.5379
BP,CE,MLP5,6,None,relu,0.5311486124992371,0.8944892287254333,0.5307,0.5176
BP,CE,MLP5,7,None,relu,0.5184905529022217,0.7884719371795654,0.504,0.504
BP,CE,MLP5,8,None,relu,0.3085152506828308,0.3860074579715729,0.5541,0.5495
BP,CE,MLP5,9,None,relu,0.4889846742153168,0.8554641008377075,0.5295,0.4985
CBP,CE,MLP5,0,None,relu,0.2728403806686401,0.4744032919406891,0.5553,0.5309
CBP,CE,MLP5,1,None,relu,0.29903116822242737,0.5522351861000061,0.5566,0.5347
CBP,CE,MLP5,2,None,relu,0.2976309657096863,0.57692551612854,0.5605,0.5283
CBP,CE,MLP5,3,None,relu,0.2920221984386444,0.3386571407318115,0.5612,0.5547
CBP,CE,MLP5,4,None,relu,0.3211046159267425,0.5447306632995605,0.5543,0.5481
CBP,CE,MLP5,5,None,relu,0.3070666790008545,0.4244089424610138,0.5612,0.5366
CBP,CE,MLP5,6,None,relu,0.2864267826080322,0.5694514513015747,0.5629,0.5387
CBP,CE,MLP5,7,None,relu,0.3210418820381165,0.3861599862575531,0.5568,0.5469
CBP,CE,MLP5,8,None,relu,0.3188493549823761,0.5208294391632079,0.5583,0.541
CBP,CE,MLP5,9,None,relu,0.2962692975997925,0.4755876064300537,0.5598,0.5576
