method,seed,train time (s),time for 45% (s),time for 50% (s)
BP,0,987.18,987.18,987.18
BP,1,983.05,589.46,983.05
BP,2,955.22,955.22,955.22
BP,3,954.54,438.01,505.36
BP,4,952.4,227.94,322.71
BP,5,956.87,391.32,429.51
BP,6,971.74,401.03,566.84
BP,7,970.55,381.87,806.62
BP,8,966.18,202.48,327.73
BP,9,964.55,317.18,481.2
CBP,0,954.72,209.96,304.87
CBP,1,966.37,203.57,347.67
CBP,2,964.96,202.57,298.41
CBP,3,977.01,212.58,330.37
CBP,4,980.2,215.63,313.06
CBP,5,979.11,205.42,341.87
CBP,6,981.26,205.82,303.42
CBP,7,978.78,215.16,312.64
CBP,8,980.96,205.86,313.14
CBP,9,979.92,196.16,332.63
